,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
339,Morrow/HarperCollins,Diane Mott Davidson,None,2014-03-23,THE WHOLE ENCHILADA,2,3
340,St. Martin's,Jeffrey Archer,None,2014-02-16,BEST KEPT SECRET,2,3
341,Grand Central,Douglas Preston and Lincoln Child,1455525855,2013-12-08,WHITE FIRE,2,2
342,J.C. Reed,JC Reed,None,2013-11-10,TREASURE YOUR LOVE,2,3
343,Harlequin Mira,Ron Carr,1460317971,2013-09-22,THE HERO,2,2
344,Berkley,Maya Banks,None,2013-09-01,BURN,2,1
345,Birch Paper Press,Ryan Winfield,None,2013-08-25,JANE'S MELODY,2,2
346,Delacorte,Danielle Steel,None,2013-08-11,FIRST SIGHT,2,2
347,Harlequin Mira,Ron Carr,1460315065,2013-07-21,THE NEWCOMER,2,2
348,Abbi Glines,Abbi Glines,0988301334,2013-07-07,FOREVER TOO FAR,2,3
349,Georgia Cates,Georgia Cates,1628470356,2013-06-23,BEAUTY FROM SURRENDER,2,3
350,Abbi Glines,Abbi Glines,0988301326,2013-05-19,TWISTED PERFECTION,2,2
351,Scribner,Kathy Reichs,1439112827,2013-05-12,BONES ARE FOREVER,2,3
352,Putnam,Stuart Woods,None,2013-05-05,UNINTENDED CONSEQUENCES,2,2
353,Penguin Group,Maya Banks,None,2013-04-28,FEVER,2,1
354,Simon & Schuster,Jamie McGuire,1476712999,2013-04-28,WALKING DISASTER,2,2
355,Penguin Group,J R Ward,None,2013-04-21,LOVER AT LAST,2,3
356,Courtney Cole,Courtney Cole,None,2013-03-10,IF YOU STAY,2,3
357,Random House Publishing,Jonathan Kellerman,0345538811,2013-03-10,GUILT,2,1
358,Random House Publishing,Danielle Steel,034553865X,2013-02-24,UNTIL THE END OF TIME,2,5
359,HarperCollins,James Rollins,None,2013-02-03,THE DEVIL COLONY,2,3
360,Raine Miller,Raine Miller,None,2012-12-09,ALL IN,2,2
361,Berkley Books,Christine Feehan,None,2012-10-28,DARK STORM,2,2
362,Grand Central Publishing,Jill Shalvis,0446576468,2012-10-07,SIMPLY IRRESISTIBLE,2,2
363,Entangled Publishing,Gina L Maxwell,None,2012-09-09,SEDUCING CINDERELLA,2,2
364,Scribner,Stephen King,1451658907,2012-05-20,THE WIND THROUGH THE KEYHOLE,2,5
365,Random House Publishing,Sophie Kinsella,0679644687,2012-03-11,I'VE GOT YOUR NUMBER,2,4
366,St. Martin's Press,Kristin Hannah,0312364431,2012-02-19,NIGHT ROAD,2,2
367,Simon & Schuster,Janet Evanovich,0684867311,2012-02-19,ONE FOR THE MONEY,2,4
368,P. J. Alderman,P J Alderman,None,2011-10-30,A KILLING TIDE,2,3
369,Grand Central,Douglas Preston and Lincoln Child,0446554987,2011-08-28,COLD VENGEANCE,2,2
370,Penguin Group,Jim Butcher,045146379X,2011-08-21,GHOST STORY,2,2
371,Penguin Group,Catherine Coulter,None,2011-08-14,SPLIT SECOND,2,2
372,HarperCollins,S J Watson,None,2011-07-31,BEFORE I GO TO SLEEP,2,5
373,Random House,Tess Gerritsen,0345526600,2011-07-31,THE SILENT GIRL,2,3
