,isbn,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
0,0451477790,4825,10351,743,7881,16460,993,3.79
0,1429952113,27,57,1,2984,5672,226,4.2
0,006246356X,3186,6171,430,4737,8798,602,3.67
0,1250105102,5,16,1,2121,5288,163,4.23
0,0316361534,4,8,2,4257,8514,441,3.59
0,0316251313,10,34,1,33759,69053,1764,4.35
0,1451687567,3085,7157,421,3919,9130,474,4.21
0,1466887338,7,14,2,3235,8300,331,4.05
0,1101871369,4,7,1,9661,17927,1328,4.08
0,0553391747,7078,12764,1202,9936,18508,1574,3.91
0,0316261157,15,19,2,22697,45403,1576,3.87
0,1459294947,10,20,2,2701,6859,322,4.13
0,1460395921,9,23,5,2090,5752,221,3.97
0,161773229X,4026,9141,498,6131,15236,700,3.51
0,1460395956,10,20,1,6405,15166,619,3.91
0,0062316079,24,39,4,5686,12164,465,4.15
0,0345539982,70,91,21,17970,33768,2514,3.98
0,0385542070,28,63,0,43350,103029,5399,3.67
0,0062297732,3251,5725,412,5674,11172,588,4.17
0,0316361526,14,18,2,3987,8462,441,3.77
0,0374280029,2933,32588,378,22546,84991,2828,3.64
0,1460394135,6,18,2,2022,5307,195,4.0
0,1420140647,2,6,1,1353,3848,110,4.15
0,0062379445,66,99,16,10403,20672,1194,3.73
0,1501107488,9,16,4,3428,7243,512,4.06
0,0062405632,27,41,4,13880,25846,1688,4.01
0,0345459520,102,167,25,34164,65978,1714,3.96
0,0062410172,2452,7092,202,3567,9655,299,3.71
0,1250099633,10,32,4,11625,25960,1227,3.94
0,1476758751,17,53,6,22996,68966,2257,3.77
0,0062499041,1266,2862,134,3194,6566,229,4.1
0,0062434780,43,98,10,8610,17674,657,4.03
0,031636164X,14,32,2,5635,14509,452,3.77
0,1250092418,10,28,2,6692,17542,829,3.82
0,1459294920,6,12,1,3072,6500,356,4.53
0,1460346769,1,2,0,3854,8774,375,3.96
0,1460395646,7,18,2,2347,6208,234,4.01
